"pathways.nodeInfo" "pathways.edgeInfo" "pathways.compInfo" "pathways.isolated" "pathways.collection.names"
"04014.xml" 229 1396 207 6 "Ras signaling pathway"
"04015.xml" 212 1288 201 5 "Rap1 signaling pathway"
"04010.xml" 255 852 245 3 "MAPK signaling pathway"
"04012.xml" 88 218 88 0 "ErbB signaling pathway"
"04310.xml" 143 814 135 6 "Wnt signaling pathway"
"04330.xml" 48 142 48 0 "Notch signaling pathway"
"04340.xml" 47 174 47 0 "Hedgehog signaling pathway"
"04350.xml" 84 173 49 11 "TGF-beta signaling pathway"
"04390.xml" 154 589 145 1 "Hippo signaling pathway"
"04392.xml" 29 55 29 0 "Hippo signaling pathway -multiple species"
"04370.xml" 61 174 61 0 "VEGF signaling pathway"
"04630.xml" 158 2907 158 0 "Jak-STAT signaling pathway"
"04064.xml" 95 172 75 12 "NF-kappa B signaling pathway"
"04668.xml" 110 145 72 38 "TNF signaling pathway"
"04066.xml" 103 287 97 6 "HIF-1 signaling pathway"
"04068.xml" 134 443 98 8 "FoxO signaling pathway"
"04020.xml" 182 524 127 46 "Calcium signaling pathway"
"04070.xml" 99 1922 86 13 "Phosphatidylinositol signaling system"
"04072.xml" 144 419 98 34 "Phospholipase D signaling pathway"
"04071.xml" 120 267 60 25 "Sphingolipid signaling pathway"
"04024.xml" 200 674 189 11 "cAMP signaling pathway"
"04022.xml" 168 419 121 20 "cGMP-PKG signaling pathway"
"04151.xml" 341 2677 311 2 "PI3K-Akt signaling pathway"
"04152.xml" 124 339 77 25 "AMPK signaling pathway"
"04150.xml" 154 567 100 11 "mTOR signaling pathway"
"04060.xml" 270 254 25 17 "Cytokine-cytokine receptor interaction"
"04512.xml" 82 521 81 1 "ECM-receptor interaction"
"04514.xml" 145 585 23 27 "Cell adhesion molecules (CAMs)"
"04144.xml" 260 476 38 151 "Endocytosis"
"04140.xml" 133 366 121 12 "Autophagy - animal"
"04110.xml" 124 618 124 0 "Cell cycle"
"04114.xml" 124 424 120 4 "Oocyte meiosis"
"04210.xml" 140 356 133 7 "Apoptosis"
"04115.xml" 69 84 68 1 "p53 signaling pathway"
"04510.xml" 201 1854 201 0 "Focal adhesion"
"04520.xml" 72 170 60 3 "Adherens junction"
"04540.xml" 88 227 88 0 "Gap junction"
"04550.xml" 142 458 112 30 "Signaling pathways regulating pluripotency of stem cells"
"04810.xml" 214 779 184 30 "Regulation of actin cytoskeleton"
"04610.xml" 79 83 35 29 "Complement and coagulation cascades"
"04611.xml" 122 321 109 11 "Platelet activation"
"04620.xml" 106 225 104 2 "Toll-like receptor signaling pathway"
"04621.xml" 170 290 133 23 "NOD-like receptor signaling pathway"
"04622.xml" 70 69 48 22 "RIG-I-like receptor signaling pathway"
"04623.xml" 64 31 17 44 "Cytosolic DNA-sensing pathway"
"04650.xml" 135 370 131 1 "Natural killer cell mediated cytotoxicity"
"04612.xml" 77 373 29 15 "Antigen processing and presentation"
"04660.xml" 105 216 95 10 "T cell receptor signaling pathway"
"04658.xml" 92 256 69 3 "Th1 and Th2 cell differentiation"
"04659.xml" 107 200 84 17 "Th17 cell differentiation"
"04662.xml" 73 147 59 3 "B cell receptor signaling pathway"
"04664.xml" 70 160 61 9 "Fc epsilon RI signaling pathway"
"04666.xml" 93 214 61 6 "Fc gamma R-mediated phagocytosis"
"04670.xml" 116 822 85 7 "Leukocyte transendothelial migration"
"04062.xml" 184 1644 184 0 "Chemokine signaling pathway"
"04911.xml" 85 99 26 34 "Insulin secretion"
"04910.xml" 140 429 126 3 "Insulin signaling pathway"
"04922.xml" 103 422 73 17 "Glucagon signaling pathway"
"04923.xml" 56 120 23 6 "Regulation of lipolysis in adipocytes"
"04920.xml" 70 210 63 7 "Adipocytokine signaling pathway"
"03320.xml" 72 263 65 7 "PPAR signaling pathway"
"04912.xml" 92 235 85 7 "GnRH signaling pathway"
"04913.xml" 50 50 22 12 "Ovarian steroidogenesis"
"04915.xml" 100 213 80 14 "Estrogen signaling pathway"
"04914.xml" 98 150 47 9 "Progesterone-mediated oocyte maturation"
"04917.xml" 72 195 72 0 "Prolactin signaling pathway"
"04921.xml" 159 462 144 15 "Oxytocin signaling pathway"
"04918.xml" 74 112 23 31 "Thyroid hormone synthesis"
"04919.xml" 118 367 112 6 "Thyroid hormone signaling pathway"
"04916.xml" 101 389 88 0 "Melanogenesis"
"04924.xml" 65 69 15 24 "Renin secretion"
"04925.xml" 82 274 40 22 "Aldosterone synthesis and secretion"
"04261.xml" 149 877 139 0 "Adrenergic signaling in cardiomyocytes"
"04270.xml" 121 273 78 11 "Vascular smooth muscle contraction"
"04970.xml" 90 34 13 52 "Salivary secretion"
"04971.xml" 75 111 16 28 "Gastric acid secretion"
"04976.xml" 71 26 14 42 "Bile secretion"
"04962.xml" 44 46 14 22 "Vasopressin-regulated water reabsorption"
"04960.xml" 39 41 32 7 "Aldosterone-regulated sodium reabsorption"
"04961.xml" 47 44 23 12 "Endocrine and other factor-regulated calcium reabsorption"
"04724.xml" 114 468 72 28 "Glutamatergic synapse"
"04727.xml" 88 506 39 25 "GABAergic synapse"
"04725.xml" 111 564 79 23 "Cholinergic synapse"
"04728.xml" 130 599 121 9 "Dopaminergic synapse"
"04726.xml" 113 408 59 42 "Serotonergic synapse"
"04720.xml" 67 339 67 0 "Long-term potentiation"
"04730.xml" 60 226 59 1 "Long-term depression"
"04723.xml" 101 531 46 48 "Retrograde endocannabinoid signaling"
"04722.xml" 121 377 117 4 "Neurotrophin signaling pathway"
"04744.xml" 28 45 13 1 "Phototransduction"
"04740.xml" 419 4238 408 9 "Olfactory transduction"
"04750.xml" 99 136 53 11 "Inflammatory mediator regulation of TRP channels"
"04360.xml" 177 527 160 13 "Axon guidance"
"04380.xml" 132 242 119 9 "Osteoclast differentiation"
"04211.xml" 94 271 61 10 "Longevity regulating pathway"
"04213.xml" 64 199 45 1 "Longevity regulating pathway - multiple species"
"04710.xml" 31 101 31 0 "Circadian rhythm"
"04713.xml" 96 780 96 0 "Circadian entrainment"
"05200.xml" 397 1105 298 89 "Pathways in cancer"
"05230.xml" 67 142 63 4 "Central carbon metabolism in cancer"
"05231.xml" 101 208 60 19 "Choline metabolism in cancer"
"05206.xml" 299 518 180 37 "MicroRNAs in cancer"
"05205.xml" 205 620 197 1 "Proteoglycans in cancer"
"05204.xml" 82 491 35 15 "Chemical carcinogenesis"
"05210.xml" 62 104 42 13 "Colorectal cancer"
"05212.xml" 66 121 47 1 "Pancreatic cancer"
"05214.xml" 66 185 50 1 "Glioma"
"05216.xml" 29 49 15 1 "Thyroid cancer"
"05221.xml" 57 152 57 0 "Acute myeloid leukemia"
"05220.xml" 73 185 60 0 "Chronic myeloid leukemia"
"05217.xml" 55 303 47 8 "Basal cell carcinoma"
"05218.xml" 71 281 68 3 "Melanoma"
"05211.xml" 67 103 32 10 "Renal cell carcinoma"
"05219.xml" 41 46 16 12 "Bladder cancer"
"05215.xml" 89 294 86 3 "Prostate cancer"
"05213.xml" 52 87 32 8 "Endometrial cancer"
"05224.xml" 146 494 131 9 "Breast cancer"
"05222.xml" 86 229 75 8 "Small cell lung cancer"
"05223.xml" 56 138 50 6 "Non-small cell lung cancer"
"05321.xml" 65 81 48 17 "Inflammatory bowel disease (IBD)"
"05330.xml" 38 24 21 10 "Allograft rejection"
"05332.xml" 41 51 14 22 "Graft-versus-host disease"
"05014.xml" 51 49 32 16 "Amyotrophic lateral sclerosis (ALS)"
"05030.xml" 49 91 31 7 "Cocaine addiction"
"05031.xml" 68 248 43 6 "Amphetamine addiction"
"05032.xml" 91 549 54 37 "Morphine addiction"
"05034.xml" 180 757 57 13 "Alcoholism"
"05410.xml" 83 38 13 58 "Hypertrophic cardiomyopathy (HCM)"
"05414.xml" 90 142 26 14 "Dilated cardiomyopathy"
"04930.xml" 48 136 40 1 "Type II diabetes mellitus"
"04950.xml" 26 32 24 2 "Maturity onset diabetes of the young"
"04932.xml" 151 146 47 78 "Non-alcoholic fatty liver disease (NAFLD)"
"04931.xml" 109 232 93 16 "Insulin resistance"
"04933.xml" 101 309 91 10 "AGE-RAGE signaling pathway in diabetic complications"
"05120.xml" 68 47 27 31 "Epithelial cell signaling in Helicobacter pylori infection"
"05130.xml" 55 56 22 15 "Pathogenic Escherichia coli infection"
"05132.xml" 86 173 44 14 "Salmonella infection"
"05131.xml" 65 104 26 14 "Shigellosis"
"05133.xml" 76 111 25 24 "Pertussis"
"05134.xml" 55 37 20 15 "Legionellosis"
"05150.xml" 56 46 28 20 "Staphylococcus aureus infection"
"05152.xml" 179 463 141 6 "Tuberculosis"
"05100.xml" 78 107 57 21 "Bacterial invasion of epithelial cells"
"05166.xml" 258 562 103 67 "HTLV-I infection"
"05162.xml" 136 208 51 34 "Measles"
"05164.xml" 175 192 71 70 "Influenza A"
"05161.xml" 146 266 115 12 "Hepatitis B"
"05160.xml" 133 181 47 36 "Hepatitis C"
"05168.xml" 185 191 44 81 "Herpes simplex infection"
"05169.xml" 204 206 56 113 "Epstein-Barr virus infection"
"05146.xml" 98 70 11 54 "Amoebiasis"
"05145.xml" 118 154 34 25 "Toxoplasmosis"
"05140.xml" 73 94 50 23 "Leishmaniasis"
"05142.xml" 104 200 52 15 "Chagas disease (American trypanosomiasis)"
"01521.xml" 81 231 80 1 "EGFR tyrosine kinase inhibitor resistance"
"01524.xml" 75 83 41 34 "Platinum drug resistance"
"01522.xml" 98 304 70 3 "Endocrine resistance"
