"pathways.nodeInfo" "pathways.edgeInfo" "pathways.compInfo" "pathways.isolated" "pathways.collection.names[f]"
"02010.xml" 45 0 1 45 "ABC transporters"
"04080.xml" 278 47 12 250 "Neuroactive ligand-receptor interaction"
"04142.xml" 123 0 1 123 "Lysosome"
"04146.xml" 83 7 5 75 "Peroxisome"
"04215.xml" 33 0 1 33 "Apoptosis - multiple species"
"04530.xml" 170 3 4 166 "Tight junction"
"04640.xml" 97 0 1 97 "Hematopoietic cell lineage"
"04657.xml" 93 14 14 79 "IL-17 signaling pathway"
"04614.xml" 23 1 2 21 "Renin-angiotensin system"
"04972.xml" 96 18 11 76 "Pancreatic secretion"
"04973.xml" 46 7 4 36 "Carbohydrate digestion and absorption"
"04974.xml" 90 0 1 90 "Protein digestion and absorption"
"04977.xml" 24 0 1 24 "Vitamin digestion and absorption"
"04978.xml" 52 6 6 44 "Mineral absorption"
"04966.xml" 27 0 1 27 "Collecting duct acid secretion"
"05202.xml" 180 12 4 161 "Transcriptional misregulation in cancer"
"05203.xml" 203 4 4 197 "Viral carcinogenesis"
"05310.xml" 31 4 4 25 "Asthma"
"05323.xml" 90 13 4 73 "Rheumatoid arthritis"
"05320.xml" 53 5 3 44 "Autoimmune thyroid disease"
"05340.xml" 37 0 1 37 "Primary immunodeficiency"
"05012.xml" 142 25 13 116 "Parkinson's disease"
"05016.xml" 193 26 16 166 "Huntington's disease"
"05033.xml" 40 0 1 40 "Nicotine addiction"
"05412.xml" 72 11 6 62 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"04940.xml" 43 3 3 38 "Type I diabetes mellitus"
"05144.xml" 49 7 4 38 "Malaria"
"04672.xml" 49 18 5 21 "Intestinal immune network for IgA production"
"04260.xml" 78 18 13 65 "Cardiac muscle contraction"
"04975.xml" 41 16 9 32 "Fat digestion and absorption"
"04964.xml" 23 6 4 16 "Proximal tubule bicarbonate reclamation"
"04320.xml" 28 16 13 15 "Dorso-ventral axis formation"
"05020.xml" 35 19 17 18 "Prion diseases"
"01523.xml" 31 12 8 23 "Antifolate resistance"
"04144.xml" 260 476 38 151 "Endocytosis"
"04145.xml" 154 247 27 122 "Phagosome"
"04623.xml" 64 31 17 44 "Cytosolic DNA-sensing pathway"
"04970.xml" 90 34 13 52 "Salivary secretion"
"04976.xml" 71 26 14 42 "Bile secretion"
"04721.xml" 63 37 9 45 "Synaptic vesicle cycle"
"04742.xml" 83 32 10 62 "Taste transduction"
"05322.xml" 133 30 14 114 "Systemic lupus erythematosus"
"05332.xml" 41 51 14 22 "Graft-versus-host disease"
"05010.xml" 171 67 13 126 "Alzheimer's disease"
"05410.xml" 83 38 13 58 "Hypertrophic cardiomyopathy (HCM)"
"05416.xml" 59 23 8 33 "Viral myocarditis"
"04932.xml" 151 146 47 78 "Non-alcoholic fatty liver disease (NAFLD)"
"05110.xml" 51 27 9 35 "Vibrio cholerae infection"
"05169.xml" 204 206 56 113 "Epstein-Barr virus infection"
"05146.xml" 98 70 11 54 "Amoebiasis"
"05143.xml" 35 28 9 11 "African trypanosomiasis"
