"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa04966:Collecting duct acid secretion"	0.966780650542118	0.0767980991761394	143	25	3
"hsa00591:Linoleic acid metabolism"	0.851066364827833	0.0916263489895551	143	28	3
"hsa05144:Malaria"	0.824280650542119	0.00739108766625267	143	48	5
"hsa04971:Gastric acid secretion"	0.77410459420409	0.000922712599521246	143	71	7
"hsa04512:ECM-receptor interaction"	0.754250530060191	0.00047651012189192	143	83	8
"hsa04964:Proximal tubule bicarbonate reclamation"	0.743923507684976	0.379164439245025	143	21	2
"hsa00512:O-Glycan biosynthesis"	0.486780650542118	0.580037843651913	143	30	2
"hsa04350:TGF-beta signaling pathway"	0.422494936256404	0.0767980991761394	143	84	5
"hsa00592:alpha-Linolenic acid metabolism"	0.386780650542119	1	143	18	1
"hsa04510:Focal adhesion"	0.343633442420291	0.00264515366989741	143	197	10
"hsa05219:Bladder cancer"	0.336780650542119	0.857134911865535	143	40	2
"hsa05146:Amoebiasis"	0.327957121130354	0.115234984924530	143	102	5
"hsa04970:Salivary secretion"	0.320515590301155	0.237607697232021	143	83	4
"hsa00910:Nitrogen metabolism"	0.315352079113547	1	143	21	1
"hsa00980:Metabolism of xenobiotics by cytochrome P450"	0.289765725168984	0.556774318471124	143	67	3
"hsa04270:Vascular smooth muscle contraction"	0.288566364827833	0.151989638629546	143	112	5
"hsa04730:Long-term depression"	0.283839474071530	0.556774318471124	143	68	3
"hsa04950:Maturity onset diabetes of the young"	0.261780650542119	1	143	24	1
"hsa00590:Arachidonic acid metabolism"	0.232934496695965	1	143	52	2
"hsa00650:Butanoate metabolism"	0.186780650542119	1	143	30	1
"hsa00830:Retinol metabolism"	0.181862617755233	1	143	61	2
"hsa00010:Glycolysis / Gluconeogenesis"	0.177103231187280	1	143	62	2
"hsa00565:Ether lipid metabolism"	0.168030650542119	1	143	32	1
"hsa00051:Fructose and mannose metabolism"	0.159507923269391	1	143	33	1
"hsa00982:Drug metabolism - cytochrome P450"	0.151486532895060	1	143	68	2
"hsa05142:Chagas disease"	0.148916572872216	1	143	103	3
"hsa04610:Complement and coagulation cascades"	0.147650215759510	1	143	69	2
"hsa05020:Prion diseases"	0.143923507684976	1	143	35	1
"hsa04145:Phagosome"	0.136780650542118	0.857134911865535	143	144	4
"hsa05140:Leishmaniasis"	0.136780650542118	1	143	72	2
"hsa00380:Tryptophan metabolism"	0.117549881311349	1	143	39	1
"hsa00600:Sphingolipid metabolism"	0.117549881311349	1	143	39	1
"hsa00350:Tyrosine metabolism"	0.117549881311349	1	143	39	1
