"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa00790:Folate biosynthesis"	1.90383191469164	0.285641636767679	1038	11	3
"hsa03030:DNA replication"	1.69928646014619	0.0133001792281219	1038	36	9
"hsa04110:Cell cycle"	1.52620953706927	6.82897304462458e-11	1038	122	32
"hsa04115:p53 signaling pathway"	1.52620953706927	2.41649750220508e-05	1038	67	17
"hsa05219:Bladder cancer"	1.24928646014619	0.0482127804722948	1038	40	8
"hsa05020:Prion diseases"	1.24928646014619	0.0739867792895275	1038	35	7
"hsa04512:ECM-receptor interaction"	0.967358749302815	0.0135352125693643	1038	83	14
"hsa05218:Melanoma"	0.905168813087365	0.0482127804722948	1038	68	11
"hsa04960:Aldosterone-regulated sodium reabsorption"	0.833901844761574	0.298365863552549	1038	39	6
"hsa04610:Complement and coagulation cascades"	0.753634286233145	0.115413481310434	1038	69	10
"hsa05214:Glioma"	0.735000745860474	0.159929302278239	1038	63	9
"hsa04964:Proximal tubule bicarbonate reclamation"	0.735000745860474	0.934773639438048	1038	21	3
"hsa00533:Glycosaminoglycan biosynthesis - keratan sulfate"	0.649286460146189	1	1038	15	2
"hsa05222:Small cell lung cancer"	0.627857888717617	0.157344395673273	1038	84	11
"hsa03430:Mismatch repair"	0.62319950362445	1	1038	23	3
"hsa00260:Glycine, serine and threonine metabolism"	0.610576782726834	0.883361004228021	1038	31	4
"hsa04914:Progesterone-mediated oocyte maturation"	0.574286460146189	0.0135352125693643	1038	84	14
"hsa04114:Oocyte meiosis"	0.574286460146189	0.0162231073955386	1038	107	16
"hsa05144:Malaria"	0.574286460146189	0.587450434322331	1038	48	6
"hsa00360:Phenylalanine metabolism"	0.574286460146189	1	1038	16	2
"hsa00770:Pantothenate and CoA biosynthesis"	0.574286460146189	1	1038	16	2
"hsa04514:Cell adhesion molecules (CAMs)"	0.548523101367563	0.0811002580585024	1038	131	16
"hsa05215:Prostate cancer"	0.483769218766878	0.359415436322053	1038	87	10
"hsa04510:Focal adhesion"	0.454362602278169	0.0655024732430771	1038	197	22
"hsa05410:Hypertrophic cardiomyopathy (HCM)"	0.437091338194969	0.525983517310096	1038	82	9
"hsa03440:Homologous recombination"	0.413572174431903	1	1038	28	3
"hsa05200:Pathways in cancer"	0.402557488183572	0.0135352125693643	1038	322	35
"hsa00380:Tryptophan metabolism"	0.372363383223112	1	1038	39	4
"hsa00600:Sphingolipid metabolism"	0.372363383223112	1	1038	39	4
"hsa04360:Axon guidance"	0.363348960146189	0.420691220864583	1038	128	13
"hsa05414:Dilated cardiomyopathy"	0.359398819696750	0.726714598663533	1038	89	9
"hsa00983:Drug metabolism - other enzymes"	0.349286460146189	1	1038	50	5
"hsa05212:Pancreatic cancer"	0.349286460146189	0.934773639438048	1038	70	7
"hsa05110:Vibrio cholerae infection"	0.314671075530804	1	1038	52	5
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	0.312300158776326	1	1038	73	7
"hsa04060:Cytokine-cytokine receptor interaction"	0.31135542566343	0.160134290697191	1038	261	25
"hsa03420:Nucleotide excision repair"	0.28649576247177	1	1038	43	4
"hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate"	0.267468278328007	1	1038	22	2
"hsa04710:Circadian rhythm - mammal"	0.267468278328007	1	1038	22	2
"hsa04920:Adipocytokine signaling pathway"	0.25525660939992	1	1038	67	6
"hsa04730:Long-term depression"	0.243404107205012	1	1038	68	6
"hsa05322:Systemic lupus erythematosus"	0.24049525135498	1	1038	91	8
"hsa04930:Type II diabetes mellitus"	0.231895155798363	1	1038	46	4
"hsa04062:Chemokine signaling pathway"	0.223480008533286	0.753689804548324	1038	186	16
"hsa05211:Renal cell carcinoma"	0.220715031574760	1	1038	70	6
"hsa05416:Viral myocarditis"	0.220715031574760	1	1038	70	6
"hsa04621:NOD-like receptor signaling pathway"	0.199286460146189	1	1038	60	5
"hsa00830:Retinol metabolism"	0.186991378178976	1	1038	61	5
"hsa04672:Intestinal immune network for IgA production"	0.183980337697209	1	1038	49	4
"hsa04640:Hematopoietic cell lineage"	0.173424391180672	1	1038	87	7
"hsa04966:Collecting duct acid secretion"	0.169286460146189	1	1038	25	2
"hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate"	0.169286460146189	1	1038	25	2
"hsa04670:Leukocyte transendothelial migration"	0.166100619438224	1	1038	113	9
"hsa05223:Non-small cell lung cancer"	0.141594152453881	1	1038	52	4
"hsa03450:Non-homologous end-joining"	0.141594152453881	1	1038	13	1
"hsa05120:Epithelial cell signaling in Helicobacter pylori infection"	0.141594152453881	1	1038	65	5
"hsa05216:Thyroid cancer"	0.141594152453881	1	1038	26	2
"hsa00350:Tyrosine metabolism"	0.141594152453881	1	1038	39	3
"hsa00980:Metabolism of xenobiotics by cytochrome P450"	0.120928251190965	1	1038	67	5
"hsa00982:Drug metabolism - cytochrome P450"	0.111051166028542	1	1038	68	5
"hsa04810:Regulation of actin cytoskeleton"	0.0983249216846503	1	1038	208	15
"hsa00603:Glycosphingolipid biosynthesis - globo series"	0.0921436030033316	1	1038	14	1
"hsa00340:Histidine metabolism"	0.0921436030033316	1	1038	28	2
"hsa00604:Glycosphingolipid biosynthesis - ganglio series"	0.0921436030033316	1	1038	14	1
"hsa05220:Chronic myeloid leukemia"	0.0830892770475972	1	1038	71	5
"hsa04622:RIG-I-like receptor signaling pathway"	0.0830892770475972	1	1038	71	5
"hsa04971:Gastric acid secretion"	0.0830892770475972	1	1038	71	5
"hsa04145:Phagosome"	0.0742864601461888	1	1038	144	10
"hsa04520:Adherens junction"	0.0742864601461888	1	1038	72	5
"hsa04620:Toll-like receptor signaling pathway"	0.0730488363838127	1	1038	101	7
"hsa04530:Tight junction"	0.072363383223112	1	1038	130	9
"hsa04012:ErbB signaling pathway"	0.0699761153186025	1	1038	87	6
"hsa05146:Amoebiasis"	0.0669335189697183	1	1038	102	7
"hsa04910:Insulin signaling pathway"	0.0537640720864873	1	1038	134	9
"hsa00512:O-Glycan biosynthesis"	0.0492864601461888	1	1038	30	2
"hsa05310:Asthma"	0.0299316214365113	1	1038	31	2
"hsa00240:Pyrimidine metabolism"	0.0299316214365113	1	1038	94	7
"hsa00565:Ether lipid metabolism"	0.0117864601461888	1	1038	32	2
"hsa00630:Glyoxylate and dicarboxylate metabolism"	0.0117864601461888	1	1038	16	1
"hsa00640:Propanoate metabolism"	0.0117864601461888	1	1038	32	2
"hsa04144:Endocytosis"	0.0059874910740238	1	1038	194	12
"hsa03410:Base excision repair"	-0.00525899439926578	1	1038	33	2
"hsa04970:Salivary secretion"	-0.00854486515501597	1	1038	83	5
"hsa04120:Ubiquitin mediated proteolysis"	-0.00936015639516457	1	1038	133	8
"hsa04150:mTOR signaling pathway"	-0.021301775147929	1	1038	51	3
"hsa00100:Steroid biosynthesis"	-0.021301775147929	1	1038	17	1
"hsa04614:Renin-angiotensin system"	-0.021301775147929	1	1038	17	1
"hsa05142:Chagas disease"	-0.0264416951936170	1	1038	103	6
"hsa03320:PPAR signaling pathway"	-0.0289744094190286	1	1038	69	4
"hsa04210:Apoptosis"	-0.0334721605434665	1	1038	87	5
"hsa05221:Acute myeloid leukemia"	-0.0507135398538112	1	1038	54	3
"hsa05140:Leishmaniasis"	-0.0507135398538112	1	1038	72	4
"hsa04623:Cytosolic DNA-sensing pathway"	-0.0507135398538112	1	1038	54	3
"hsa00140:Steroid hormone biosynthesis"	-0.0507135398538112	1	1038	54	3
"hsa05217:Basal cell carcinoma"	-0.0598044489447203	1	1038	55	3
"hsa04340:Hedgehog signaling pathway"	-0.0598044489447203	1	1038	56	4
"hsa04650:Natural killer cell mediated cytotoxicity"	-0.0660981552384266	1	1038	130	7
"hsa04370:VEGF signaling pathway"	-0.0707135398538111	1	1038	75	4
"hsa04010:MAPK signaling pathway"	-0.0716260873823284	1	1038	263	14
"hsa00531:Glycosaminoglycan degradation"	-0.0770293293274955	1	1038	19	1
"hsa04630:Jak-STAT signaling pathway"	-0.0831810723213437	1	1038	154	8
"hsa04664:Fc epsilon RI signaling pathway"	-0.0831810723213437	1	1038	77	4
"hsa00230:Purine metabolism"	-0.0921148137391615	1	1038	158	9
"hsa04142:Lysosome"	-0.100713539853811	1	1038	120	6
"hsa05210:Colorectal cancer"	-0.108090589034139	1	1038	62	4
"hsa00010:Glycolysis / Gluconeogenesis"	-0.115229668886069	1	1038	62	3
"hsa04940:Type I diabetes mellitus"	-0.122142111282383	1	1038	42	2
"hsa04350:TGF-beta signaling pathway"	-0.122142111282383	1	1038	84	4
"hsa04310:Wnt signaling pathway"	-0.130713539853811	1	1038	150	7
"hsa02010:ABC transporters"	-0.132108888691020	1	1038	43	2
"hsa04660:T cell receptor signaling pathway"	-0.134046873187145	1	1038	108	5
"hsa04020:Calcium signaling pathway"	-0.134528568755545	1	1038	173	8
"hsa04962:Vasopressin-regulated water reabsorption"	-0.141622630762902	1	1038	44	2
"hsa00410:beta-Alanine metabolism"	-0.141622630762902	1	1038	22	1
"hsa04080:Neuroactive ligand-receptor interaction"	-0.149226551006228	1	1038	269	12
"hsa05100:Bacterial invasion of epithelial cells"	-0.153654716324399	1	1038	68	3
"hsa04666:Fc gamma R-mediated phagocytosis"	-0.155109144249416	1	1038	91	4
"hsa00561:Glycerolipid metabolism"	-0.159409192027724	1	1038	46	2
"hsa01100:Metabolic pathways"	-0.168088770907416	1	1038	1083	47
"hsa00760:Nicotinate and nicotinamide metabolism"	-0.175713539853811	1	1038	24	1
"hsa04950:Maturity onset diabetes of the young"	-0.175713539853811	1	1038	24	1
"hsa04662:B cell receptor signaling pathway"	-0.185848674988946	1	1038	74	3
"hsa00564:Glycerophospholipid metabolism"	-0.185848674988946	1	1038	74	3
"hsa04916:Melanogenesis"	-0.187077176217448	1	1038	99	4
"hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series"	-0.190713539853811	1	1038	25	1
"hsa04070:Phosphatidylinositol signaling system"	-0.190713539853811	1	1038	75	3
"hsa00053:Ascorbate and aldarate metabolism"	-0.190713539853811	1	1038	25	1
"hsa05213:Endometrial cancer"	-0.204559693699965	1	1038	52	2
"hsa00330:Arginine and proline metabolism"	-0.204559693699965	1	1038	52	2
"hsa00040:Pentose and glucuronate interconversions"	-0.217380206520478	1	1038	27	1
"hsa00591:Linoleic acid metabolism"	-0.229284968425240	1	1038	28	1
"hsa04270:Vascular smooth muscle contraction"	-0.229284968425240	1	1038	112	4
"hsa00562:Inositol phosphate metabolism"	-0.229284968425240	1	1038	56	2
"hsa04540:Gap junction"	-0.236760051481718	1	1038	86	3
"hsa03010:Ribosome"	-0.240368712267604	1	1038	87	3
"hsa00020:Citrate cycle (TCA cycle)"	-0.250713539853811	1	1038	30	1
"hsa04722:Neurotrophin signaling pathway"	-0.26039095920865	1	1038	124	4
"hsa04141:Protein processing in endoplasmic reticulum"	-0.264089336032155	1	1038	157	5
"hsa00250:Alanine, aspartate and glutamate metabolism"	-0.269463539853811	1	1038	32	1
"hsa04912:GnRH signaling pathway"	-0.275203335772179	1	1038	98	3
"hsa05340:Primary immunodeficiency"	-0.277986267126539	1	1038	33	1
"hsa04140:Regulation of autophagy"	-0.277986267126539	1	1038	33	1
"hsa04720:Long-term potentiation"	-0.28600765750087	1	1038	68	2
"hsa04130:SNARE interactions in vesicular transport"	-0.293570682710954	1	1038	35	1
"hsa04260:Cardiac muscle contraction"	-0.307470296610568	1	1038	74	2
"hsa05330:Allograft rejection"	-0.307470296610568	1	1038	37	1
"hsa05332:Graft-versus-host disease"	-0.325713539853811	1	1038	40	1
"hsa00620:Pyruvate metabolism"	-0.325713539853811	1	1038	40	1
"hsa00071:Fatty acid metabolism"	-0.33120134473186	1	1038	41	1
"hsa05012:Parkinson's disease"	-0.33297160436994	1	1038	124	3
"hsa00860:Porphyrin and chlorophyll metabolism"	-0.336427825568097	1	1038	42	1
"hsa05016:Huntington's disease"	-0.340187224064338	1	1038	173	6
"hsa03050:Proteasome"	-0.341411214272416	1	1038	43	1
"hsa00480:Glutathione metabolism"	-0.341411214272416	1	1038	44	2
"hsa00520:Amino sugar and nucleotide sugar metabolism"	-0.346168085308357	1	1038	44	1
"hsa00280:Valine, leucine and isoleucine degradation"	-0.346168085308357	1	1038	44	1
"hsa00310:Lysine degradation"	-0.355061365940768	1	1038	46	1
"hsa04330:Notch signaling pathway"	-0.359224178151684	1	1038	47	1
"hsa00500:Starch and sucrose metabolism"	-0.367040070466056	1	1038	49	1
"hsa04742:Taste transduction"	-0.367040070466056	1	1038	49	1
"hsa05014:Amyotrophic lateral sclerosis (ALS)"	-0.374242951618517	1	1038	51	1
"hsa05320:Autoimmune thyroid disease"	-0.377636616776888	1	1038	52	1
"hsa00590:Arachidonic acid metabolism"	-0.377636616776888	1	1038	52	1
"hsa05130:Pathogenic Escherichia coli infection"	-0.377636616776888	1	1038	52	1
"hsa05010:Alzheimer's disease"	-0.380902219099094	1	1038	159	3
"hsa03018:RNA degradation"	-0.389999254139526	1	1038	56	1
"hsa05131:Shigellosis"	-0.400713539853811	1	1038	60	1
"hsa00190:Oxidative phosphorylation"	-0.406713539853811	1	1038	125	2
"hsa03040:Spliceosome"	-0.473790462930734	1	1038	117	1
"hsa04146:Peroxisome"	-0.550713539853811	1	1038	74	0
"hsa04612:Antigen processing and presentation"	-0.550713539853811	1	1038	66	0
"hsa00592:alpha-Linolenic acid metabolism"	-0.550713539853811	1	1038	18	0
"hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	-0.550713539853811	1	1038	25	0
"hsa00970:Aminoacyl-tRNA biosynthesis"	-0.550713539853811	1	1038	38	0
"hsa00510:N-Glycan biosynthesis"	-0.550713539853811	1	1038	47	0
"hsa00270:Cysteine and methionine metabolism"	-0.550713539853811	1	1038	34	0
"hsa00430:Taurine and hypotaurine metabolism"	-0.550713539853811	1	1038	10	0
"hsa00920:Sulfur metabolism"	-0.550713539853811	1	1038	12	0
"hsa00670:One carbon pool by folate"	-0.550713539853811	1	1038	17	0
