"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa03030:DNA replication"	3.70058661447989	2.55045955074771e-08	2166	36	22
"hsa00071:Fatty acid metabolism"	2.58930612667501	0.000390222258659971	2166	41	18
"hsa00670:One carbon pool by folate"	2.34396896742106	0.132502262221099	2166	17	7
"hsa04110:Cell cycle"	1.91308661447989	1.70423892621582e-11	2166	122	52
"hsa00920:Sulfur metabolism"	1.91081388720716	0.257460120208588	2166	12	5
"hsa03410:Base excision repair"	1.83163500157666	0.0117322371341318	2166	33	13
"hsa03430:Mismatch repair"	1.63808661447988	0.0730694543238622	2166	23	9
"hsa01040:Biosynthesis of unsaturated fatty acids"	1.63808661447988	0.263862074512118	2166	21	7
"hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series"	1.51808661447989	0.257608430124744	2166	25	8
"hsa00410:beta-Alanine metabolism"	1.50172297811625	0.296210119766672	2166	22	7
"hsa04115:p53 signaling pathway"	1.49919772559100	0.00059359241958978	2166	67	24
"hsa00360:Phenylalanine metabolism"	1.45058661447989	0.42228682160014	2166	16	5
"hsa03320:PPAR signaling pathway"	1.41749837918577	0.00708520399929972	2166	69	22
"hsa00270:Cysteine and methionine metabolism"	1.28514543800930	0.257460120208588	2166	34	10
"hsa00230:Purine metabolism"	1.27502928963912	7.75033473625933e-05	2166	158	47
"hsa00240:Pyrimidine metabolism"	1.25098984028634	0.00475517147619486	2166	94	28
"hsa00910:Nitrogen metabolism"	1.20951518590846	0.42228682160014	2166	21	6
"hsa00565:Ether lipid metabolism"	1.16933661447988	0.317416522330667	2166	32	9
"hsa00983:Drug metabolism - other enzymes"	1.15808661447989	0.176082938477155	2166	50	14
"hsa00790:Folate biosynthesis"	1.09263206902534	0.641151900819548	2166	11	3
"hsa00533:Glycosaminoglycan biosynthesis - keratan sulfate"	1.03808661447989	0.617520576093271	2166	15	4
"hsa00900:Terpenoid backbone biosynthesis"	1.03808661447989	0.617520576093271	2166	15	4
"hsa00561:Glycerolipid metabolism"	0.985912701436406	0.296210119766672	2166	46	12
"hsa00260:Glycine, serine and threonine metabolism"	0.960667259641175	0.42228682160014	2166	31	8
"hsa05146:Amoebiasis"	0.954918297648202	0.0327069183362058	2166	102	27
"hsa04146:Peroxisome"	0.948897425290696	0.164199442851985	2166	74	19
"hsa00350:Tyrosine metabolism"	0.945778922172193	0.397242145472142	2166	39	10
"hsa03440:Homologous recombination"	0.888086614479885	0.482072966984902	2166	28	7
"hsa03020:RNA polymerase"	0.888086614479885	0.482072966984902	2166	28	7
"hsa00450:Selenoamino acid metabolism"	0.888086614479885	0.412848636201562	2166	25	7
"hsa00340:Histidine metabolism"	0.888086614479885	0.482072966984902	2166	28	7
"hsa00620:Pyruvate metabolism"	0.888086614479885	0.412848636201562	2166	40	10
"hsa04964:Proximal tubule bicarbonate reclamation"	0.888086614479885	0.42228682160014	2166	21	6
"hsa00640:Propanoate metabolism"	0.888086614479885	0.475326039121703	2166	32	8
"hsa00770:Pantothenate and CoA biosynthesis"	0.888086614479885	0.641151900819548	2166	16	4
"hsa00100:Steroid biosynthesis"	0.755733673303414	0.672734594375378	2166	17	4
"hsa03018:RNA degradation"	0.7273723287656	0.412848636201562	2166	56	13
"hsa00380:Tryptophan metabolism"	0.715009691402962	0.482072966984902	2166	39	9
"hsa00600:Sphingolipid metabolism"	0.715009691402962	0.482072966984902	2166	39	9
"hsa00030:Pentose phosphate pathway"	0.715009691402962	0.620560252814587	2166	26	6
"hsa04960:Aldosterone-regulated sodium reabsorption"	0.715009691402962	0.482072966984902	2166	39	9
"hsa00520:Amino sugar and nucleotide sugar metabolism"	0.68354115993443	0.482072966984902	2166	44	10
"hsa03420:Nucleotide excision repair"	0.613696370577446	0.359553245777388	2166	43	11
"hsa00250:Alanine, aspartate and glutamate metabolism"	0.606836614479885	0.631054437312954	2166	32	7
"hsa00603:Glycosphingolipid biosynthesis - globo series"	0.566658043051313	0.80042576034524	2166	14	3
"hsa00051:Fructose and mannose metabolism"	0.547177523570794	0.641151900819548	2166	33	7
"hsa00330:Arginine and proline metabolism"	0.541932768326039	0.547500001114514	2166	52	11
"hsa04971:Gastric acid secretion"	0.53949506518411	0.482072966984902	2166	71	15
"hsa05222:Small cell lung cancer"	0.53006192312186	0.256161586950192	2166	84	20
"hsa04512:ECM-receptor interaction"	0.526975503368774	0.296210119766672	2166	83	19
"hsa00480:Glutathione metabolism"	0.521807544712443	0.482072966984902	2166	44	10
"hsa00982:Drug metabolism - cytochrome P450"	0.491027790950473	0.509685123028055	2166	68	14
"hsa00280:Valine, leucine and isoleucine degradation"	0.478995705388976	0.641151900819548	2166	44	9
"hsa05217:Basal cell carcinoma"	0.44263206902534	0.631054437312954	2166	55	11
"hsa00430:Taurine and hypotaurine metabolism"	0.438086614479885	0.85909501167763	2166	10	2
"hsa00512:O-Glycan biosynthesis"	0.438086614479885	0.732927312228993	2166	30	6
"hsa00650:Butanoate metabolism"	0.438086614479885	0.732927312228993	2166	30	6
"hsa00310:Lysine degradation"	0.398956179697276	0.672734594375378	2166	46	9
"hsa04350:TGF-beta signaling pathway"	0.39553918900563	0.412848636201562	2166	84	18
"hsa01100:Metabolic pathways"	0.359898074738665	0.000467211798450024	2166	1083	208
"hsa00860:Porphyrin and chlorophyll metabolism"	0.352372328765599	0.732927312228993	2166	42	8
"hsa00564:Glycerophospholipid metabolism"	0.340789317182588	0.641151900819548	2166	74	14
